Kanji,YuetPing
噃,bo
坡,bo/po
嶓,bo
抪,bo/bou
播,bo
波,bo
溊,bo
玻,bo
番,bo/faan/po/pun
碆,bo
磻,bo/pun
簸,bo
紴,bo
菠,bo
蕃,bo/faan
蚾,bo/pei
譒,bo
鄱,bo/po
𡃓,bo
𨨏,bo
㗘,bok
㩧,bok
㬍,bok
㵡,bok
㼎,bok
䂍,bok
䃗,bok
䈏,bok
䍸,bok
䑈,bok
䗚,bok
䙏,bok
䥤,bok
䥬,bok
䨌,bok
䨔,bok
䪇,bok
䪨,bok
䬪,bok
䭦,bok
䯙,bok
䰊,bok
䶈,bok
亳,bok
仢,bok
剝,bok/mok/pok
博,bok
嚗,bok
嚩,bok
壆,bok
愽,bok
懪,bok
搏,bok
攴,bok/pok
暴,bok/bou/buk
欂,bok
淿,bok
煿,bok
牔,bok
犦,bok
猼,bok/pok
瓝,bok/paau
瓟,bok/paau
礡,bok
礴,bok
禣,bok
窇,bok
箔,bok
簙,bok
縛,bok/fok
肑,bok
胉,bok
膊,bok
艊,bok
萡,bok
蒲,bok/pou
薄,bok
襮,bok/buk
謈,bok
踄,bok/bou
鉑,bok
鎛,bok
鑮,bok
雹,bok
餺,bok
駁,bok
駮,bok
髆,bok/pok
髉,bok
魄,bok/paak/tok
鸔,bok/bou/buk
𣽡,bok
𨍭,bok
㨍,bong
㮄,bong
㿶,bong
䢶,bong
䧛,bong
䩷,bong
傍,bong/pong
垹,bong
埲,bong/bung/pung
塝,bong
峀,bong
帮,bong
幇,bong
幚,bong
幫,bong
彭,bong/paang/pong
徬,bong/pong
搒,bong/paang/pang/pong
旁,bong/pong
梆,bong
榜,bong/pang/pong
牓,bong
甏,bong
磅,bong/pong
稖,bong/paang
綁,bong
縍,bong
膀,bong/pong
艕,bong/pong
蒡,bong/pang
螃,bong/pong
謗,bong/pong
邦,bong
邫,bong
鎊,bong
鞤,bong
髈,bong
𨧜,bong
㕊,bou
㘵,bou
㙅,bou
㙛,bou
㫧,bou
㬧,bou
㲒,bou
㳍,bou
㷛,bou
㻄,bou
㻉,bou
㾟,bou
䀯,bou
䊇,bou
䋠,bou
䎂,bou
䑰,bou
䒀,bou
䝵,bou
䤖,bou
䪔,bou
䳈,bou
䳰,bou
䴐,bou
佈,bou
保,bou
儤,bou
勽,bou
咘,bou
哺,bou
圃,bou/pou
埔,bou
埗,bou/fau
埠,bou/fau
堡,bou/pou
堢,bou
報,bou
媬,bou
孬,bou/jai/naau
宲,bou
寚,bou
寳,bou
寶,bou
峬,bou
布,bou
庯,bou
廍,bou
忁,bou
怖,bou
悑,bou
抱,bou/paau/pou
捕,bou
捗,bou/pou/zik
晡,bou
曓,bou
曝,bou/buk
柨,bou
步,bou/fau
歨,bou
歩,bou
瀑,bou/buk
煲,bou
珤,bou
篰,bou
簿,bou
緥,bou
荹,bou
菢,bou
葆,bou
蔀,bou
蕔,bou
藵,bou
虣,bou
補,bou
裦,bou
褒,bou
褓,bou
襃,bou
誧,bou/pou
賲,bou
